STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/18/73,0,0,0,37,12,35
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/18/73,0,0,0,36,14,32
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/19/73,0,0,0,36,24,26
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/19/73,0,0,0,50,16,48
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/19/73,0,0,0,48,23,43
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/20/73,0,0,0,43,24,35
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/20/73,0,0,0,54,26,53
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/20/73,0,0,0,53,33,50
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/21/73,0,0,0,53,32,40
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/21/73,0,0,0,53,32,48
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/21/73,0,0,0,51,37,47
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/22/73,0.13,0,0,51,24,27
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/22/73,0.07,0,0,48,21,38
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/22/73,0.05,0,0,47,25,35
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/23/73,0,0,0,41,22,28
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/23/73,0,0,0,42,26,39
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/23/73,0,0.4,0,44,26,38
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/24/73,0,0,0,41,25,38
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/24/73,0,0,0,45,27,43
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/24/73,0,0,0,44,31,42
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/25/73,0,0,0,44,22,35
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/25/73,0,0,0,50,22,45
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/25/73,0,0,0,50,30,44
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/26/73,0,0,0,51,35,38
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/26/73,0,0,0,56,36,49
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/26/73,0,0,0,55,37,48
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/27/73,0,0,0,55,32,33
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/27/73,0,0,0,49,34,37
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/27/73,0,0,0,48,32,38
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/28/73,0,0,0,39,20,24
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/28/73,0,0,0,52,22,48
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/28/73,0,0,0,51,26,46
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/1/73,0,0,0,51,24,35
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/1/73,0,0,0,58,31,57
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/1/73,0,0,0,57,32,55
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/2/73,0,0,0,58,24,42
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/2/73,0,0,0,67,30,65
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/2/73,0,0,0,65,38,60
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/3/73,0.02,0,0,61,42,46
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/3/73,0.67,0,0,65,41,54
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/3/73,0.46,0,0,60,46,53
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/4/73,0.47,0,0,55,45,48
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/4/73,0.23,0,0,56,46,58
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/4/73,0.15,0,0,58,45,56
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/5/73,0.01,0,0,56,48,50
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/5/73,0.01,0,0,58,49,52
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/5/73,0.05,0,0,56,46,48
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/6/73,0.25,0,0,52,39,41
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/6/73,0.29,0,0,52,41,45
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/6/73,0.23,0,0,48,40,44
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/7/73,0.08,0,0,44,40,42
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/7/73,0.17,0,0,48,42,48
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/7/73,0.1,0,0,49,41,49
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/8/73,0.48,0,0,60,42,48
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/8/73,0.38,0,0,69,46,66
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/8/73,0.5,0,0,66,46,61
